2014-02-17 10:21:33,420 | WARN  | Could not start network bridge between: vm://broker-a?async=false&network=true and: ssl://localhost:61626 due to: javax.net.ssl.SSLHandshakeException: sun.security.validator.ValidatorException: PKIX path validation failed: java.security.cert.CertPathValidatorException: signature check failed | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-433
2014-02-17 10:22:03,421 | INFO  | Establishing network connection from vm://broker-a?async=false&network=true to ssl://localhost:61626 | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-434
2014-02-17 10:22:03,422 | INFO  | Connector vm://broker-a started | org.apache.activemq.broker.TransportConnector | ActiveMQ Task-434
2014-02-17 10:22:03,430 | INFO  | broker-a Shutting down | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[broker-a] Task-1148
2014-02-17 10:22:03,432 | INFO  | broker-a bridge to Unknown stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[broker-a] Task-1148
2014-02-17 10:22:03,433 | INFO  | Connector vm://broker-a stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ Task-434
2014-02-17 10:22:03,434 | WARN  | Could not start network bridge between: vm://broker-a?async=false&network=true and: ssl://localhost:61626 due to: javax.net.ssl.SSLHandshakeException: sun.security.validator.ValidatorException: PKIX path validation failed: java.security.cert.CertPathValidatorException: signature check failed | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-434
2014-02-17 10:22:33,435 | INFO  | Establishing network connection from vm://broker-a?async=false&network=true to ssl://localhost:61626 | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-435
2014-02-17 10:22:33,437 | INFO  | Connector vm://broker-a started | org.apache.activemq.broker.TransportConnector | ActiveMQ Task-435
2014-02-17 10:22:33,444 | INFO  | broker-a Shutting down | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[broker-a] Task-1150
2014-02-17 10:22:33,446 | INFO  | broker-a bridge to Unknown stopped | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[broker-a] Task-1150
2014-02-17 10:22:33,447 | INFO  | Connector vm://broker-a stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ Task-435
2014-02-17 10:22:33,447 | WARN  | Could not start network bridge between: vm://broker-a?async=false&network=true and: ssl://localhost:61626 due to: javax.net.ssl.SSLHandshakeException: sun.security.validator.ValidatorException: PKIX path validation failed: java.security.cert.CertPathValidatorException: signature check failed | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-435
2014-02-17 10:23:03,449 | INFO  | Establishing network connection from vm://broker-a?async=false&network=true to ssl://localhost:61626 | org.apache.activemq.network.DiscoveryNetworkConnector | ActiveMQ Task-436
2014-02-17 10:23:03,450 | INFO  | Connector vm://broker-a started | org.apache.activemq.broker.TransportConnector | ActiveMQ Task-436
2014-02-17 10:23:03,465 | INFO  | broker-a Shutting down | org.apache.activemq.network.DemandForwardingBridgeSupport | ActiveMQ BrokerService[broker-a] Task-1153
